Main,,Sukupuolet yhteensä,,,,,,,,,Miehet,,,,,,,,,Naiset,,,,,,,,
Taustamaanosa,Syntyperä,TAUSTAMAA YHTEENSÄ,Suomi,ULKOMAATAUSTAISET YHTEENSÄ,MUUT EU(27)MAAT,MUU EUROOPPA,AFRIKKA,AMERIKKA,AASIA ja OSEANIA,TUNTEMATON,TAUSTAMAA YHTEENSÄ,Suomi,ULKOMAATAUSTAISET YHTEENSÄ,MUUT EU(27)MAAT,MUU EUROOPPA,AFRIKKA,AMERIKKA,AASIA ja OSEANIA,TUNTEMATON,TAUSTAMAA YHTEENSÄ,Suomi,ULKOMAATAUSTAISET YHTEENSÄ,MUUT EU(27)MAAT,MUU EUROOPPA,AFRIKKA,AMERIKKA,AASIA ja OSEANIA,TUNTEMATON
Reisjärvi,Väestö yhteensä,2996,2984,12,2,4,0,3,1,2,1550,1546,4,1,1,0,0,0,2,1446,1438,8,1,3,0,3,1,0
,Syntyperältään suomalainen yhteensä,2984,2984,0,0,0,0,0,0,0,1546,1546,0,0,0,0,0,0,0,1438,1438,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",2972,2972,0,0,0,0,0,0,0,1540,1540,0,0,0,0,0,0,0,1432,1432,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",12,12,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,12,0,12,2,4,0,3,1,2,4,0,4,1,1,0,0,0,2,8,0,8,1,3,0,3,1,0
,Ensimmäisen polven ulkomaalainen,9,0,9,2,4,0,1,1,1,3,0,3,1,1,0,0,0,1,6,0,6,1,3,0,1,1,0
,Toisen polven ulkomaalainen,3,0,3,0,0,0,2,0,1,1,0,1,0,0,0,0,0,1,2,0,2,0,0,0,2,0,0
Riihimäki,Väestö yhteensä,29018,28012,1006,282,309,56,24,315,20,14272,13755,517,161,130,38,10,163,15,14746,14257,489,121,179,18,14,152,5
,Syntyperältään suomalainen yhteensä,28012,28012,0,0,0,0,0,0,0,13755,13755,0,0,0,0,0,0,0,14257,14257,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",27825,27825,0,0,0,0,0,0,0,13656,13656,0,0,0,0,0,0,0,14169,14169,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",187,187,0,0,0,0,0,0,0,99,99,0,0,0,0,0,0,0,88,88,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,1006,0,1006,282,309,56,24,315,20,517,0,517,161,130,38,10,163,15,489,0,489,121,179,18,14,152,5
,Ensimmäisen polven ulkomaalainen,871,0,871,247,277,56,22,256,13,441,0,441,140,109,38,10,134,10,430,0,430,107,168,18,12,122,3
,Toisen polven ulkomaalainen,135,0,135,35,32,0,2,59,7,76,0,76,21,21,0,0,29,5,59,0,59,14,11,0,2,30,2
Ristiina,Väestö yhteensä,4839,4681,158,12,134,0,1,9,2,2444,2377,67,1,61,0,0,4,1,2395,2304,91,11,73,0,1,5,1
,Syntyperältään suomalainen yhteensä,4681,4681,0,0,0,0,0,0,0,2377,2377,0,0,0,0,0,0,0,2304,2304,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",4658,4658,0,0,0,0,0,0,0,2371,2371,0,0,0,0,0,0,0,2287,2287,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",23,23,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,158,0,158,12,134,0,1,9,2,67,0,67,1,61,0,0,4,1,91,0,91,11,73,0,1,5,1
,Ensimmäisen polven ulkomaalainen,138,0,138,12,114,0,1,9,2,56,0,56,1,50,0,0,4,1,82,0,82,11,64,0,1,5,1
,Toisen polven ulkomaalainen,20,0,20,0,20,0,0,0,0,11,0,11,0,11,0,0,0,0,9,0,9,0,9,0,0,0,0
Ristijärvi,Väestö yhteensä,1489,1475,14,3,9,0,0,1,1,759,755,4,2,2,0,0,0,0,730,720,10,1,7,0,0,1,1
,Syntyperältään suomalainen yhteensä,1475,1475,0,0,0,0,0,0,0,755,755,0,0,0,0,0,0,0,720,720,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",1472,1472,0,0,0,0,0,0,0,755,755,0,0,0,0,0,0,0,717,717,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,14,0,14,3,9,0,0,1,1,4,0,4,2,2,0,0,0,0,10,0,10,1,7,0,0,1,1
,Ensimmäisen polven ulkomaalainen,12,0,12,2,9,0,0,1,0,3,0,3,1,2,0,0,0,0,9,0,9,1,7,0,0,1,0
,Toisen polven ulkomaalainen,2,0,2,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
Rovaniemi,Väestö yhteensä,60637,58913,1724,405,413,142,61,683,20,29540,28623,917,239,178,93,40,361,6,31097,30290,807,166,235,49,21,322,14
,Syntyperältään suomalainen yhteensä,58913,58913,0,0,0,0,0,0,0,28623,28623,0,0,0,0,0,0,0,30290,30290,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",58020,58020,0,0,0,0,0,0,0,28163,28163,0,0,0,0,0,0,0,29857,29857,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",893,893,0,0,0,0,0,0,0,460,460,0,0,0,0,0,0,0,433,433,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,1724,0,1724,405,413,142,61,683,20,917,0,917,239,178,93,40,361,6,807,0,807,166,235,49,21,322,14
,Ensimmäisen polven ulkomaalainen,1569,0,1569,340,389,135,59,631,15,827,0,827,201,164,89,39,330,4,742,0,742,139,225,46,20,301,11
,Toisen polven ulkomaalainen,155,0,155,65,24,7,2,52,5,90,0,90,38,14,4,1,31,2,65,0,65,27,10,3,1,21,3
Ruokolahti,Väestö yhteensä,5595,5507,88,16,65,0,1,3,3,2783,2743,40,10,28,0,0,2,0,2812,2764,48,6,37,0,1,1,3
,Syntyperältään suomalainen yhteensä,5507,5507,0,0,0,0,0,0,0,2743,2743,0,0,0,0,0,0,0,2764,2764,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",5488,5488,0,0,0,0,0,0,0,2730,2730,0,0,0,0,0,0,0,2758,2758,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",19,19,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,88,0,88,16,65,0,1,3,3,40,0,40,10,28,0,0,2,0,48,0,48,6,37,0,1,1,3
,Ensimmäisen polven ulkomaalainen,81,0,81,16,60,0,1,3,1,38,0,38,10,26,0,0,2,0,43,0,43,6,34,0,1,1,1
,Toisen polven ulkomaalainen,7,0,7,0,5,0,0,0,2,2,0,2,0,2,0,0,0,0,5,0,5,0,3,0,0,0,2
Ruovesi,Väestö yhteensä,4940,4876,64,25,30,1,1,4,3,2504,2472,32,15,11,1,1,2,2,2436,2404,32,10,19,0,0,2,1
,Syntyperältään suomalainen yhteensä,4876,4876,0,0,0,0,0,0,0,2472,2472,0,0,0,0,0,0,0,2404,2404,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",4852,4852,0,0,0,0,0,0,0,2459,2459,0,0,0,0,0,0,0,2393,2393,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",24,24,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,64,0,64,25,30,1,1,4,3,32,0,32,15,11,1,1,2,2,32,0,32,10,19,0,0,2,1
,Ensimmäisen polven ulkomaalainen,57,0,57,23,26,1,1,4,2,30,0,30,14,11,1,1,2,1,27,0,27,9,15,0,0,2,1
,Toisen polven ulkomaalainen,7,0,7,2,4,0,0,0,1,2,0,2,1,0,0,0,0,1,5,0,5,1,4,0,0,0,0
Rusko,Väestö yhteensä,5870,5820,50,24,14,1,1,8,2,2906,2880,26,15,8,0,0,2,1,2964,2940,24,9,6,1,1,6,1
,Syntyperältään suomalainen yhteensä,5820,5820,0,0,0,0,0,0,0,2880,2880,0,0,0,0,0,0,0,2940,2940,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",5788,5788,0,0,0,0,0,0,0,2864,2864,0,0,0,0,0,0,0,2924,2924,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",32,32,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,50,0,50,24,14,1,1,8,2,26,0,26,15,8,0,0,2,1,24,0,24,9,6,1,1,6,1
,Ensimmäisen polven ulkomaalainen,45,0,45,22,12,1,1,7,2,22,0,22,13,6,0,0,2,1,23,0,23,9,6,1,1,5,1
,Toisen polven ulkomaalainen,5,0,5,2,2,0,0,1,0,4,0,4,2,2,0,0,0,0,1,0,1,0,0,0,0,1,0
Rääkkylä,Väestö yhteensä,2532,2453,79,19,55,0,0,5,0,1328,1298,30,10,18,0,0,2,0,1204,1155,49,9,37,0,0,3,0
,Syntyperältään suomalainen yhteensä,2453,2453,0,0,0,0,0,0,0,1298,1298,0,0,0,0,0,0,0,1155,1155,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",2441,2441,0,0,0,0,0,0,0,1293,1293,0,0,0,0,0,0,0,1148,1148,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",12,12,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,79,0,79,19,55,0,0,5,0,30,0,30,10,18,0,0,2,0,49,0,49,9,37,0,0,3,0
,Ensimmäisen polven ulkomaalainen,71,0,71,15,52,0,0,4,0,27,0,27,8,17,0,0,2,0,44,0,44,7,35,0,0,2,0
,Toisen polven ulkomaalainen,8,0,8,4,3,0,0,1,0,3,0,3,2,1,0,0,0,0,5,0,5,2,2,0,0,1,0
Saarijärvi,Väestö yhteensä,10380,10278,102,35,38,4,5,17,3,5117,5076,41,18,13,4,2,4,0,5263,5202,61,17,25,0,3,13,3
,Syntyperältään suomalainen yhteensä,10278,10278,0,0,0,0,0,0,0,5076,5076,0,0,0,0,0,0,0,5202,5202,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",10228,10228,0,0,0,0,0,0,0,5058,5058,0,0,0,0,0,0,0,5170,5170,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",50,50,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,32,32,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,102,0,102,35,38,4,5,17,3,41,0,41,18,13,4,2,4,0,61,0,61,17,25,0,3,13,3
,Ensimmäisen polven ulkomaalainen,97,0,97,31,37,4,5,17,3,39,0,39,17,12,4,2,4,0,58,0,58,14,25,0,3,13,3
,Toisen polven ulkomaalainen,5,0,5,4,1,0,0,0,0,2,0,2,1,1,0,0,0,0,3,0,3,3,0,0,0,0,0
Salla,Väestö yhteensä,4052,4016,36,12,19,0,0,5,0,2157,2145,12,8,4,0,0,0,0,1895,1871,24,4,15,0,0,5,0
,Syntyperältään suomalainen yhteensä,4016,4016,0,0,0,0,0,0,0,2145,2145,0,0,0,0,0,0,0,1871,1871,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",3992,3992,0,0,0,0,0,0,0,2134,2134,0,0,0,0,0,0,0,1858,1858,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",24,24,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,36,0,36,12,19,0,0,5,0,12,0,12,8,4,0,0,0,0,24,0,24,4,15,0,0,5,0
,Ensimmäisen polven ulkomaalainen,36,0,36,12,19,0,0,5,0,12,0,12,8,4,0,0,0,0,24,0,24,4,15,0,0,5,0
,Toisen polven ulkomaalainen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salo,Väestö yhteensä,55283,52321,2962,780,1443,144,56,499,40,27182,25729,1453,410,659,95,34,233,22,28101,26592,1509,370,784,49,22,266,18
,Syntyperältään suomalainen yhteensä,52321,52321,0,0,0,0,0,0,0,25729,25729,0,0,0,0,0,0,0,26592,26592,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",51970,51970,0,0,0,0,0,0,0,25544,25544,0,0,0,0,0,0,0,26426,26426,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",351,351,0,0,0,0,0,0,0,185,185,0,0,0,0,0,0,0,166,166,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,2962,0,2962,780,1443,144,56,499,40,1453,0,1453,410,659,95,34,233,22,1509,0,1509,370,784,49,22,266,18
,Ensimmäisen polven ulkomaalainen,2548,0,2548,692,1215,122,55,438,26,1237,0,1237,362,541,81,33,205,15,1311,0,1311,330,674,41,22,233,11
,Toisen polven ulkomaalainen,414,0,414,88,228,22,1,61,14,216,0,216,48,118,14,1,28,7,198,0,198,40,110,8,0,33,7
Saltvik,Väestö yhteensä,1810,1671,139,107,6,2,4,12,8,907,827,80,66,2,2,2,6,2,903,844,59,41,4,0,2,6,6
,Syntyperältään suomalainen yhteensä,1671,1671,0,0,0,0,0,0,0,827,827,0,0,0,0,0,0,0,844,844,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",1616,1616,0,0,0,0,0,0,0,797,797,0,0,0,0,0,0,0,819,819,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",55,55,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,139,0,139,107,6,2,4,12,8,80,0,80,66,2,2,2,6,2,59,0,59,41,4,0,2,6,6
,Ensimmäisen polven ulkomaalainen,122,0,122,98,5,1,2,9,7,68,0,68,59,2,1,1,4,1,54,0,54,39,3,0,1,5,6
,Toisen polven ulkomaalainen,17,0,17,9,1,1,2,3,1,12,0,12,7,0,1,1,2,1,5,0,5,2,1,0,1,1,0
Sastamala,Väestö yhteensä,24498,24055,443,131,237,12,9,37,17,12102,11872,230,76,126,6,5,6,11,12396,12183,213,55,111,6,4,31,6
,Syntyperältään suomalainen yhteensä,24055,24055,0,0,0,0,0,0,0,11872,11872,0,0,0,0,0,0,0,12183,12183,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",23936,23936,0,0,0,0,0,0,0,11819,11819,0,0,0,0,0,0,0,12117,12117,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",119,119,0,0,0,0,0,0,0,53,53,0,0,0,0,0,0,0,66,66,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,443,0,443,131,237,12,9,37,17,230,0,230,76,126,6,5,6,11,213,0,213,55,111,6,4,31,6
,Ensimmäisen polven ulkomaalainen,402,0,402,123,211,12,9,37,10,206,0,206,72,112,6,5,6,5,196,0,196,51,99,6,4,31,5
,Toisen polven ulkomaalainen,41,0,41,8,26,0,0,0,7,24,0,24,4,14,0,0,0,6,17,0,17,4,12,0,0,0,1
Sauvo - Sagu,Väestö yhteensä,3043,2975,68,40,23,0,2,2,1,1541,1497,44,25,16,0,2,1,0,1502,1478,24,15,7,0,0,1,1
,Syntyperältään suomalainen yhteensä,2975,2975,0,0,0,0,0,0,0,1497,1497,0,0,0,0,0,0,0,1478,1478,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",2955,2955,0,0,0,0,0,0,0,1490,1490,0,0,0,0,0,0,0,1465,1465,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",20,20,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,68,0,68,40,23,0,2,2,1,44,0,44,25,16,0,2,1,0,24,0,24,15,7,0,0,1,1
,Ensimmäisen polven ulkomaalainen,59,0,59,36,18,0,2,2,1,39,0,39,23,13,0,2,1,0,20,0,20,13,5,0,0,1,1
,Toisen polven ulkomaalainen,9,0,9,4,5,0,0,0,0,5,0,5,2,3,0,0,0,0,4,0,4,2,2,0,0,0,0
Savitaipale,Väestö yhteensä,3789,3756,33,9,17,0,2,4,1,1902,1889,13,4,8,0,0,0,1,1887,1867,20,5,9,0,2,4,0
,Syntyperältään suomalainen yhteensä,3756,3756,0,0,0,0,0,0,0,1889,1889,0,0,0,0,0,0,0,1867,1867,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",3753,3753,0,0,0,0,0,0,0,1889,1889,0,0,0,0,0,0,0,1864,1864,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,33,0,33,9,17,0,2,4,1,13,0,13,4,8,0,0,0,1,20,0,20,5,9,0,2,4,0
,Ensimmäisen polven ulkomaalainen,31,0,31,9,16,0,2,4,0,11,0,11,4,7,0,0,0,0,20,0,20,5,9,0,2,4,0
,Toisen polven ulkomaalainen,2,0,2,0,1,0,0,0,1,2,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Savonlinna - Nyslott,Väestö yhteensä,27585,26811,774,85,423,24,13,215,14,13179,12830,349,44,167,17,8,106,7,14406,13981,425,41,256,7,5,109,7
,Syntyperältään suomalainen yhteensä,26811,26811,0,0,0,0,0,0,0,12830,12830,0,0,0,0,0,0,0,13981,13981,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",26715,26715,0,0,0,0,0,0,0,12788,12788,0,0,0,0,0,0,0,13927,13927,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",96,96,0,0,0,0,0,0,0,42,42,0,0,0,0,0,0,0,54,54,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,774,0,774,85,423,24,13,215,14,349,0,349,44,167,17,8,106,7,425,0,425,41,256,7,5,109,7
,Ensimmäisen polven ulkomaalainen,716,0,716,76,394,23,13,202,8,318,0,318,40,153,16,8,98,3,398,0,398,36,241,7,5,104,5
,Toisen polven ulkomaalainen,58,0,58,9,29,1,0,13,6,31,0,31,4,14,1,0,8,4,27,0,27,5,15,0,0,5,2
Savukoski,Väestö yhteensä,1156,1151,5,2,2,1,0,0,0,618,616,2,1,0,1,0,0,0,538,535,3,1,2,0,0,0,0
,Syntyperältään suomalainen yhteensä,1151,1151,0,0,0,0,0,0,0,616,616,0,0,0,0,0,0,0,535,535,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",1144,1144,0,0,0,0,0,0,0,613,613,0,0,0,0,0,0,0,531,531,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",7,7,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,5,0,5,2,2,1,0,0,0,2,0,2,1,0,1,0,0,0,3,0,3,1,2,0,0,0,0
,Ensimmäisen polven ulkomaalainen,5,0,5,2,2,1,0,0,0,2,0,2,1,0,1,0,0,0,3,0,3,1,2,0,0,0,0
,Toisen polven ulkomaalainen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seinäjoki,Väestö yhteensä,58703,57716,987,281,275,84,48,273,26,28449,27982,467,153,109,55,25,113,12,30254,29734,520,128,166,29,23,160,14
,Syntyperältään suomalainen yhteensä,57716,57716,0,0,0,0,0,0,0,27982,27982,0,0,0,0,0,0,0,29734,29734,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",57267,57267,0,0,0,0,0,0,0,27756,27756,0,0,0,0,0,0,0,29511,29511,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",449,449,0,0,0,0,0,0,0,226,226,0,0,0,0,0,0,0,223,223,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,987,0,987,281,275,84,48,273,26,467,0,467,153,109,55,25,113,12,520,0,520,128,166,29,23,160,14
,Ensimmäisen polven ulkomaalainen,883,0,883,245,240,80,42,257,19,418,0,418,132,95,52,21,108,10,465,0,465,113,145,28,21,149,9
,Toisen polven ulkomaalainen,104,0,104,36,35,4,6,16,7,49,0,49,21,14,3,4,5,2,55,0,55,15,21,1,2,11,5
Sievi,Väestö yhteensä,5285,5194,91,28,57,0,1,2,3,2716,2673,43,17,24,0,0,0,2,2569,2521,48,11,33,0,1,2,1
,Syntyperältään suomalainen yhteensä,5194,5194,0,0,0,0,0,0,0,2673,2673,0,0,0,0,0,0,0,2521,2521,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",5147,5147,0,0,0,0,0,0,0,2643,2643,0,0,0,0,0,0,0,2504,2504,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",47,47,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,91,0,91,28,57,0,1,2,3,43,0,43,17,24,0,0,0,2,48,0,48,11,33,0,1,2,1
,Ensimmäisen polven ulkomaalainen,76,0,76,23,49,0,1,2,1,38,0,38,16,22,0,0,0,0,38,0,38,7,27,0,1,2,1
,Toisen polven ulkomaalainen,15,0,15,5,8,0,0,0,2,5,0,5,1,2,0,0,0,2,10,0,10,4,6,0,0,0,0
Siikainen,Väestö yhteensä,1661,1647,14,8,6,0,0,0,0,873,865,8,5,3,0,0,0,0,788,782,6,3,3,0,0,0,0
,Syntyperältään suomalainen yhteensä,1647,1647,0,0,0,0,0,0,0,865,865,0,0,0,0,0,0,0,782,782,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",1640,1640,0,0,0,0,0,0,0,861,861,0,0,0,0,0,0,0,779,779,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",7,7,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,14,0,14,8,6,0,0,0,0,8,0,8,5,3,0,0,0,0,6,0,6,3,3,0,0,0,0
,Ensimmäisen polven ulkomaalainen,13,0,13,8,5,0,0,0,0,7,0,7,5,2,0,0,0,0,6,0,6,3,3,0,0,0,0
,Toisen polven ulkomaalainen,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Siikajoki,Väestö yhteensä,5639,5526,113,4,46,1,5,51,6,2921,2864,57,2,23,0,2,27,3,2718,2662,56,2,23,1,3,24,3
,Syntyperältään suomalainen yhteensä,5526,5526,0,0,0,0,0,0,0,2864,2864,0,0,0,0,0,0,0,2662,2662,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",5491,5491,0,0,0,0,0,0,0,2850,2850,0,0,0,0,0,0,0,2641,2641,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",35,35,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,113,0,113,4,46,1,5,51,6,57,0,57,2,23,0,2,27,3,56,0,56,2,23,1,3,24,3
,Ensimmäisen polven ulkomaalainen,95,0,95,4,36,1,5,48,1,49,0,49,2,18,0,2,26,1,46,0,46,2,18,1,3,22,0
,Toisen polven ulkomaalainen,18,0,18,0,10,0,0,3,5,8,0,8,0,5,0,0,1,2,10,0,10,0,5,0,0,2,3
Siikalatva,Väestö yhteensä,6061,6014,47,7,28,1,4,3,4,3227,3202,25,4,14,1,1,1,4,2834,2812,22,3,14,0,3,2,0
,Syntyperältään suomalainen yhteensä,6014,6014,0,0,0,0,0,0,0,3202,3202,0,0,0,0,0,0,0,2812,2812,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",5977,5977,0,0,0,0,0,0,0,3182,3182,0,0,0,0,0,0,0,2795,2795,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",37,37,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,47,0,47,7,28,1,4,3,4,25,0,25,4,14,1,1,1,4,22,0,22,3,14,0,3,2,0
,Ensimmäisen polven ulkomaalainen,41,0,41,7,27,1,3,3,0,20,0,20,4,13,1,1,1,0,21,0,21,3,14,0,2,2,0
,Toisen polven ulkomaalainen,6,0,6,0,1,0,1,0,4,5,0,5,0,1,0,0,0,4,1,0,1,0,0,0,1,0,0
Siilinjärvi,Väestö yhteensä,21311,21095,216,58,102,14,10,26,6,10667,10565,102,36,42,8,4,9,3,10644,10530,114,22,60,6,6,17,3
,Syntyperältään suomalainen yhteensä,21095,21095,0,0,0,0,0,0,0,10565,10565,0,0,0,0,0,0,0,10530,10530,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",21000,21000,0,0,0,0,0,0,0,10523,10523,0,0,0,0,0,0,0,10477,10477,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",95,95,0,0,0,0,0,0,0,42,42,0,0,0,0,0,0,0,53,53,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,216,0,216,58,102,14,10,26,6,102,0,102,36,42,8,4,9,3,114,0,114,22,60,6,6,17,3
,Ensimmäisen polven ulkomaalainen,193,0,193,56,93,8,10,24,2,87,0,87,35,37,3,4,7,1,106,0,106,21,56,5,6,17,1
,Toisen polven ulkomaalainen,23,0,23,2,9,6,0,2,4,15,0,15,1,5,5,0,2,2,8,0,8,1,4,1,0,0,2
Simo,Väestö yhteensä,3441,3422,19,9,7,0,2,1,0,1790,1786,4,3,0,0,0,1,0,1651,1636,15,6,7,0,2,0,0
,Syntyperältään suomalainen yhteensä,3422,3422,0,0,0,0,0,0,0,1786,1786,0,0,0,0,0,0,0,1636,1636,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",3402,3402,0,0,0,0,0,0,0,1775,1775,0,0,0,0,0,0,0,1627,1627,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",20,20,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,19,0,19,9,7,0,2,1,0,4,0,4,3,0,0,0,1,0,15,0,15,6,7,0,2,0,0
,Ensimmäisen polven ulkomaalainen,19,0,19,9,7,0,2,1,0,4,0,4,3,0,0,0,1,0,15,0,15,6,7,0,2,0,0
,Toisen polven ulkomaalainen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sipoo - Sibbo,Väestö yhteensä,18526,18007,519,239,188,8,8,60,16,9235,8974,261,144,77,7,3,23,7,9291,9033,258,95,111,1,5,37,9
,Syntyperältään suomalainen yhteensä,18007,18007,0,0,0,0,0,0,0,8974,8974,0,0,0,0,0,0,0,9033,9033,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",17823,17823,0,0,0,0,0,0,0,8881,8881,0,0,0,0,0,0,0,8942,8942,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",184,184,0,0,0,0,0,0,0,93,93,0,0,0,0,0,0,0,91,91,0,0,0,0,0,0,0
