Main,,Sukupuolet yhteensä,,,,,,,,,Miehet,,,,,,,,,Naiset,,,,,,,,
Taustamaanosa,Syntyperä,TAUSTAMAA YHTEENSÄ,Suomi,ULKOMAATAUSTAISET YHTEENSÄ,MUUT EU(27)MAAT,MUU EUROOPPA,AFRIKKA,AMERIKKA,AASIA ja OSEANIA,TUNTEMATON,TAUSTAMAA YHTEENSÄ,Suomi,ULKOMAATAUSTAISET YHTEENSÄ,MUUT EU(27)MAAT,MUU EUROOPPA,AFRIKKA,AMERIKKA,AASIA ja OSEANIA,TUNTEMATON,TAUSTAMAA YHTEENSÄ,Suomi,ULKOMAATAUSTAISET YHTEENSÄ,MUUT EU(27)MAAT,MUU EUROOPPA,AFRIKKA,AMERIKKA,AASIA ja OSEANIA,TUNTEMATON
,Syntyperältään suomalainen yhteensä,485,485,0,0,0,0,0,0,0,248,248,0,0,0,0,0,0,0,237,237,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",473,473,0,0,0,0,0,0,0,243,243,0,0,0,0,0,0,0,230,230,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",12,12,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,92,0,92,84,2,0,1,5,0,50,0,50,46,2,0,1,1,0,42,0,42,38,0,0,0,4,0
,Ensimmäisen polven ulkomaalainen,87,0,87,79,2,0,1,5,0,47,0,47,43,2,0,1,1,0,40,0,40,36,0,0,0,4,0
,Toisen polven ulkomaalainen,5,0,5,5,0,0,0,0,0,3,0,3,3,0,0,0,0,0,2,0,2,2,0,0,0,0,0
Geta,Väestö yhteensä,492,429,63,53,6,0,1,1,2,260,225,35,32,3,0,0,0,0,232,204,28,21,3,0,1,1,2
,Syntyperältään suomalainen yhteensä,429,429,0,0,0,0,0,0,0,225,225,0,0,0,0,0,0,0,204,204,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",405,405,0,0,0,0,0,0,0,212,212,0,0,0,0,0,0,0,193,193,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",24,24,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,63,0,63,53,6,0,1,1,2,35,0,35,32,3,0,0,0,0,28,0,28,21,3,0,1,1,2
,Ensimmäisen polven ulkomaalainen,60,0,60,50,6,0,1,1,2,32,0,32,29,3,0,0,0,0,28,0,28,21,3,0,1,1,2
,Toisen polven ulkomaalainen,3,0,3,3,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haapajärvi,Väestö yhteensä,7609,7527,82,21,46,0,6,5,4,3853,3813,40,13,20,0,3,1,3,3756,3714,42,8,26,0,3,4,1
,Syntyperältään suomalainen yhteensä,7527,7527,0,0,0,0,0,0,0,3813,3813,0,0,0,0,0,0,0,3714,3714,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",7454,7454,0,0,0,0,0,0,0,3780,3780,0,0,0,0,0,0,0,3674,3674,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",73,73,0,0,0,0,0,0,0,33,33,0,0,0,0,0,0,0,40,40,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,82,0,82,21,46,0,6,5,4,40,0,40,13,20,0,3,1,3,42,0,42,8,26,0,3,4,1
,Ensimmäisen polven ulkomaalainen,74,0,74,16,44,0,6,5,3,34,0,34,10,18,0,3,1,2,40,0,40,6,26,0,3,4,1
,Toisen polven ulkomaalainen,8,0,8,5,2,0,0,0,1,6,0,6,3,2,0,0,0,1,2,0,2,2,0,0,0,0,0
Haapavesi,Väestö yhteensä,7384,7299,85,17,42,7,2,10,7,3810,3768,42,12,17,5,2,4,2,3574,3531,43,5,25,2,0,6,5
,Syntyperältään suomalainen yhteensä,7299,7299,0,0,0,0,0,0,0,3768,3768,0,0,0,0,0,0,0,3531,3531,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",7236,7236,0,0,0,0,0,0,0,3736,3736,0,0,0,0,0,0,0,3500,3500,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",63,63,0,0,0,0,0,0,0,32,32,0,0,0,0,0,0,0,31,31,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,85,0,85,17,42,7,2,10,7,42,0,42,12,17,5,2,4,2,43,0,43,5,25,2,0,6,5
,Ensimmäisen polven ulkomaalainen,85,0,85,17,42,7,2,10,7,42,0,42,12,17,5,2,4,2,43,0,43,5,25,2,0,6,5
,Toisen polven ulkomaalainen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hailuoto - Karlö,Väestö yhteensä,1004,995,9,3,1,0,0,3,2,520,516,4,2,1,0,0,1,0,484,479,5,1,0,0,0,2,2
,Syntyperältään suomalainen yhteensä,995,995,0,0,0,0,0,0,0,516,516,0,0,0,0,0,0,0,479,479,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",985,985,0,0,0,0,0,0,0,511,511,0,0,0,0,0,0,0,474,474,0,0,0,0,0,0,0
